User_ID,Age,Gender,Location,New_Social_Media_Follower,User_Lifetime_Days,Product_Purchased,Spend,Converted_to_Course,Product_Rating,NPS_Score,Days_Since_Last_Interaction,Churned,Group,Converted,Upsell_Revenue,Home_Website_Interaction_Count,Time_to_Conversion,Conversion_Channel,Engagement_Score,Funnel_Stage,Ad_Exposure_Count,Referral_Count,Previous_Purchase_History,Location_Tier
1,20,Female,Southwest U.S.,0,265,Bundle,60,1,4,10.0,41.0,0,Control,0,30,13,0,,70.8029197080292,Lead,0,1,0,Rural
2,18,Female,Europe,0,261,Data Course,45,1,2,7.978182114218262,31.0,1,Control,0,30,10,0,,56.20437956204379,Engaged,3,0,0,Urban
3,22,Non-binary,Northeast U.S.,1,27,Data Course,45,1,4,6.4965197215777275,33.0,1,Control,1,30,3,0,,24.087591240875916,Engaged,0,1,1,Suburban
4,41,Female,Midwest U.S.,0,249,eBook,30,1,1,5.8126755403590185,23.0,1,Control,0,30,10,0,,81.02189781021897,Engaged,3,5,0,Rural
5,18,Female,Northeast U.S.,1,48,,136,0,2,5.698701510155901,39.0,0,Treatment,1,30,5,0,,9.48905109489051,Lead,1,0,0,Rural
6,37,Female,West U.S.,0,255,1-1 Session,147,1,5,7.864208084015143,48.0,1,Control,0,30,12,0,,65.69343065693431,Lead,5,1,0,Urban
7,39,Female,Europe,1,135,1-1 Session,6,1,5,4.900883298734075,33.0,0,Treatment,1,30,5,9,Email Campaign,34.306569343065696,Converted,9,0,1,Suburban
8,24,Female,West U.S.,1,60,1-1 Session,83,1,1,4.103065087312247,22.0,0,Control,1,30,2,0,,39.416058394160586,Lead,1,0,0,Urban
9,21,Female,Southwest U.S.,0,409,,2,0,2,5.356779419546547,32.0,0,Treatment,1,30,24,263,Social Media,64.96350364963503,Converted,11,4,1,Urban
10,35,Female,Europe,0,358,,89,0,5,6.4965197215777275,25.0,1,Control,1,30,31,135,Social Media,91.97080291970804,Converted,5,0,1,Urban
11,18,Male,Europe,1,80,eBook,30,0,1,2.8493507550779498,15.0,0,Treatment,1,30,0,50,Website,54.01459854014598,Converted,12,0,1,Urban
12,20,Female,Europe,0,387,Bundle,60,1,2,8.889974355843204,50.0,0,Treatment,0,30,8,0,,68.61313868613139,Lead,2,3,0,Urban
13,18,Female,Midwest U.S.,0,398,eBook,30,0,2,7.864208084015143,23.0,1,Treatment,0,30,16,0,,87.59124087591242,Engaged,3,4,0,Suburban
14,19,Female,Europe,0,210,eBook,30,1,5,5.128831359140312,2.0,0,Treatment,1,30,14,0,,23.35766423357664,Lead,5,1,1,Urban
15,34,Female,Midwest U.S.,0,220,,0,0,3,3.3052468758904223,51.0,0,Treatment,1,30,3,0,,39.416058394160586,Engaged,2,4,0,Urban
16,36,Female,Europe,0,319,eBook,30,1,2,10.0,4.0,1,Treatment,1,30,18,0,,84.67153284671532,Engaged,0,2,0,Urban
17,30,Non-binary,Northeast U.S.,0,169,eBook,30,1,-3,9.573818537061914,33.0,1,Control,0,30,47,108,Website,54.01459854014598,Converted,5,1,1,Urban
18,42,Non-binary,Southwest U.S.,0,201,Data Course,45,0,3,6.610493751780845,44.0,0,Control,1,30,4,0,,59.85401459854016,Lead,2,4,0,Suburban
19,31,Non-binary,Europe,0,388,,23,0,2,6.268571661171491,36.0,0,Treatment,1,30,15,0,,87.59124087591242,Lead,2,0,1,Suburban
20,32,Female,West U.S.,0,350,eBook,30,0,1,6.3825456913746095,10.0,0,Treatment,0,30,9,0,,72.99270072992701,Engaged,0,3,1,Rural
21,27,Female,Northeast U.S.,0,77,eBook,30,0,4,10.0,20.0,0,Control,0,30,24,0,,46.71532846715328,Lead,0,2,0,Urban
22,27,Female,West U.S.,0,332,eBook,30,0,4,5.356779419546547,22.0,0,Treatment,0,30,9,0,,81.02189781021897,Lead,1,4,1,Urban
23,45,Male,West U.S.,1,83,eBook,30,0,1,8.889974355843204,47.0,0,Control,0,30,20,0,,36.496350364963504,Lead,1,1,0,Rural
24,20,Male,Midwest U.S.,1,173,eBook,30,0,4,9.915740627671267,26.0,0,Treatment,1,30,15,14,Website,35.76642335766424,Converted,10,2,0,Urban
25,18,Male,Southwest U.S.,1,88,,16,0,4,3.761142996702895,27.0,1,Treatment,1,30,7,0,,18.97810218978102,Lead,3,1,1,Urban
